,,,,,,,,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,,-additional
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos,-9999
1,Lamar Jackson,430.4,2024,27,BAL,17,17,430.4,430.4,25.32,25.32,QB,JackLa00
2,LaDainian Tomlinson,425.1,2006,27,SDG,16,16,425.1,481.1,26.57,30.07,RB,TomlLa00
3,Patrick Mahomes,417.1,2018,23,KAN,16,16,417.1,417.1,26.07,26.07,QB,MahoPa00
4,Patrick Mahomes,416.4,2022,27,KAN,17,17,416.4,417.4,24.49,24.55,QB,MahoPa00
5,Lamar Jackson,415.7,2019,22,BAL,15,15,415.7,415.7,27.71,27.71,QB,JackLa00
6,Peyton Manning,410.0,2013,37,DEN,16,16,410.0,410.0,25.63,25.63,QB,MannPe00
7,Josh Allen,402.6,2021,25,BUF,17,17,402.6,402.6,23.68,23.68,QB,AlleJo02
8,Aaron Rodgers,397.4,2011,28,GNB,15,15,397.4,397.4,26.49,26.49,QB,RodgAa00
9,Josh Allen,395.5,2022,26,BUF,16,16,395.5,395.5,24.72,24.72,QB,AlleJo02
10,Josh Allen,395.1,2020,24,BUF,16,16,395.1,396.1,24.69,24.76,QB,AlleJo02
11,Drew Brees,393.6,2011,32,NOR,16,16,393.6,393.6,24.60,24.60,QB,BreeDr00
12,Josh Allen,392.6,2023,27,BUF,17,17,392.6,392.6,23.09,23.09,QB,AlleJo02
13,Tom Brady,390.0,2007,30,NWE,16,16,390.0,390.0,24.38,24.38,QB,BradTo00
14,Cam Newton,389.1,2015,26,CAR,16,16,389.1,389.1,24.32,24.32,QB,NewtCa00
15,Aaron Rodgers,382.3,2020,37,GNB,16,16,382.3,383.3,23.89,23.96,QB,RodgAa00
16,Justin Herbert,380.8,2021,23,LAC,17,17,380.8,380.8,22.40,22.40,QB,HerbJu00
17,Aaron Rodgers,380.0,2016,33,GNB,16,16,380.0,380.0,23.75,23.75,QB,RodgAa00
18,Josh Allen,379.0,2024,28,BUF,17,17,379.0,379.0,22.29,22.29,QB,AlleJo02
19,Marshall Faulk,378.9,2000,27,STL,14,14,378.9,459.9,27.06,32.85,RB,FaulMa00
20,Kyler Murray,378.7,2020,23,ARI,16,16,378.7,378.7,23.67,23.67,QB,MurrKy00
21,Jalen Hurts,378.0,2022,24,PHI,15,15,378.0,378.0,25.20,25.20,QB,HurtJa00
22,Tom Brady,374.7,2021,44,TAM,17,17,374.7,374.7,22.04,22.04,QB,BradTo00
23,Patrick Mahomes,374.4,2020,25,KAN,15,15,374.4,374.4,24.96,24.96,QB,MahoPa00
